epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23502,1.97576,4.27579,1.6615,0.00451,0.26138,0.02011,0.00965,1.86409,4.05395,1.46888,2.727e-05,2.727e-05,2.727e-05
2,8.45527,1.95505,4.28692,1.64184,0.00431,0.25669,0.02276,0.01141,1.81711,4.0473,1.44121,5.94304e-05,5.94304e-05,5.94304e-05
3,12.5217,1.85403,4.12107,1.5319,0.00469,0.26801,0.04128,0.02082,1.78287,4.00549,1.3844,8.67913e-05,8.67913e-05,8.67913e-05
4,16.8996,1.84614,4.14157,1.52148,0.00548,0.29234,0.05552,0.03252,1.73477,3.96731,1.32351,0.000109353,0.000109353,0.000109353
5,21.2101,1.80178,3.9125,1.43161,0.0058,0.30182,0.06371,0.03832,1.72196,3.94798,1.30586,0.000127115,0.000127115,0.000127115
6,25.8707,1.79907,3.64832,1.43063,0.00628,0.31365,0.07663,0.04766,1.6918,3.91869,1.28014,0.000140077,0.000140077,0.000140077
7,30.7281,1.74025,3.52796,1.36949,0.00653,0.32262,0.10408,0.06816,1.65709,3.87431,1.2528,0.00014824,0.00014824,0.00014824
8,35.5742,1.73658,3.30699,1.37897,0.00712,0.34175,0.11162,0.07171,1.64622,3.82176,1.24466,0.000151603,0.000151603,0.000151603
9,40.5594,1.72391,3.0701,1.36341,0.00804,0.54044,0.11966,0.07084,1.63974,3.74633,1.24928,0.000150167,0.000150167,0.000150167
10,45.1952,1.67701,2.88257,1.34011,0.97899,0.0446,0.13321,0.07705,1.63606,3.63915,1.24048,0.000143931,0.000143931,0.000143931
11,49.6421,1.65879,2.73365,1.30766,0.98809,0.0305,0.16018,0.0942,1.61047,3.50556,1.22821,0.000132896,0.000132896,0.000132896
12,55.7189,1.66508,2.63121,1.31366,0.99191,0.04607,0.19504,0.11435,1.6112,3.36131,1.22774,0.000117061,0.000117061,0.000117061
13,61.4423,1.67668,2.47537,1.32521,0.95623,0.06757,0.23038,0.13263,1.59633,3.21721,1.2163,9.64267e-05,9.64267e-05,9.64267e-05
14,68.8592,1.66384,2.31433,1.29896,0.94124,0.07614,0.24165,0.14294,1.59757,3.15012,1.21586,7.09929e-05,7.09929e-05,7.09929e-05
15,74.6843,1.58297,2.41918,1.28879,0.92212,0.09283,0.25677,0.15194,1.60098,3.04918,1.22118,4.07596e-05,4.07596e-05,4.07596e-05
