epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6862,2.03189,4.80917,1.76164,0.47877,0.10069,0.04408,0.02214,2.12397,8.39337,1.77195,2.727e-05,2.727e-05,2.727e-05
2,21.4017,2.0978,3.91014,1.76637,0.3303,0.17001,0.08173,0.04636,2.06223,5.07592,1.71963,5.94304e-05,5.94304e-05,5.94304e-05
3,30.9942,1.91483,2.84898,1.65342,0.74054,0.13472,0.17785,0.09424,1.96346,4.32178,1.63121,8.67913e-05,8.67913e-05,8.67913e-05
4,40.8494,1.86059,2.56317,1.56433,0.77862,0.19023,0.21829,0.1206,1.897,4.74313,1.57558,0.000109353,0.000109353,0.000109353
5,50.6786,1.80664,2.22039,1.49185,0.39873,0.32176,0.24861,0.14339,1.8628,4.59758,1.54973,0.000127115,0.000127115,0.000127115
6,60.5994,1.79126,2.18398,1.55278,0.59318,0.25575,0.2777,0.16408,1.82179,3.37262,1.5255,0.000140077,0.000140077,0.000140077
7,70.3076,1.73776,2.01682,1.45825,0.4849,0.36154,0.33462,0.20231,1.71646,2.44162,1.44383,0.00014824,0.00014824,0.00014824
8,81.5222,1.62467,1.79288,1.37475,0.68029,0.31692,0.37549,0.22885,1.65774,2.20495,1.38834,0.000151603,0.000151603,0.000151603
9,93.8772,1.57669,1.67055,1.3933,0.71283,0.33922,0.41117,0.25005,1.61308,2.22436,1.35409,0.000150167,0.000150167,0.000150167
10,104.424,1.49813,1.51058,1.33399,0.75843,0.40261,0.47744,0.28177,1.56117,2.019,1.32695,0.000143931,0.000143931,0.000143931
11,114.532,1.53311,1.45514,1.33208,0.70914,0.48112,0.55319,0.32123,1.51687,1.8049,1.31073,0.000132896,0.000132896,0.000132896
12,124.498,1.5164,1.39588,1.3211,0.83321,0.52174,0.61632,0.36891,1.49449,1.61051,1.30551,0.000117061,0.000117061,0.000117061
13,134.752,1.46898,1.26916,1.30098,0.86035,0.54798,0.64369,0.38413,1.46043,1.55553,1.28665,9.64267e-05,9.64267e-05,9.64267e-05
14,144.974,1.47318,1.19557,1.30769,0.85251,0.5489,0.65664,0.39735,1.4286,1.51121,1.26391,7.09929e-05,7.09929e-05,7.09929e-05
15,155.331,1.39394,1.19924,1.28576,0.80353,0.60476,0.67057,0.41251,1.39548,1.39569,1.24201,4.07596e-05,4.07596e-05,4.07596e-05
