epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.88698,2.01814,4.31212,1.65106,0.0043,0.34154,0.03081,0.01849,1.66297,4.04391,1.31458,1.818e-05,1.818e-05,1.818e-05
2,5.88379,2.05371,4.30947,1.71213,0.00457,0.35487,0.03173,0.01867,1.66598,4.02861,1.29822,4.24503e-05,4.24503e-05,4.24503e-05
3,8.75639,1.99329,4.1981,1.64648,0.00462,0.38949,0.03219,0.02026,1.67041,4.01313,1.28016,6.3121e-05,6.3121e-05,6.3121e-05
4,12.1573,1.8383,4.09764,1.587,0.00539,0.41821,0.03517,0.02117,1.64793,3.99169,1.25775,8.0192e-05,8.0192e-05,8.0192e-05
5,15.3942,1.96574,4.14346,1.60461,0.00591,0.43359,0.04184,0.02525,1.60623,4.00952,1.24819,9.36634e-05,9.36634e-05,9.36634e-05
6,18.5551,1.82824,3.86567,1.4953,0.00652,0.44897,0.06005,0.03222,1.58599,3.9744,1.24535,0.000103535,0.000103535,0.000103535
7,21.5975,1.85207,3.8112,1.44678,0.00882,0.60769,0.08075,0.04269,1.55283,3.97228,1.22578,0.000109807,0.000109807,0.000109807
8,24.5437,1.79283,3.65472,1.43061,0.00936,0.62308,0.08398,0.04505,1.55624,3.9548,1.22275,0.00011248,0.00011248,0.00011248
9,27.5672,1.74897,3.55816,1.38539,0.00995,0.63846,0.10381,0.05625,1.53449,3.92028,1.19108,0.000111552,0.000111552,0.000111552
10,30.3479,1.77101,3.39515,1.42045,0.00935,0.42308,0.10294,0.05712,1.5329,3.88484,1.18498,0.000107026,0.000107026,0.000107026
11,32.9558,1.80654,3.3547,1.43201,0.00935,0.42308,0.1108,0.06373,1.5573,3.83835,1.19187,9.88992e-05,9.88992e-05,9.88992e-05
12,35.8605,1.72273,3.21737,1.38396,0.00983,0.43641,0.12318,0.06702,1.58779,3.81013,1.20715,8.71731e-05,8.71731e-05,8.71731e-05
13,38.9396,1.71318,3.15225,1.29979,0.01119,0.68974,0.13503,0.0708,1.64868,3.75325,1.24142,7.18474e-05,7.18474e-05,7.18474e-05
14,42.0316,1.79688,3.09452,1.34259,0.03891,0.30974,0.13768,0.07537,1.67847,3.72592,1.25497,5.2922e-05,5.2922e-05,5.2922e-05
15,45.1267,1.73444,3.03886,1.35274,1,0.03749,0.14068,0.07643,1.71392,3.69084,1.26909,3.0397e-05,3.0397e-05,3.0397e-05
