epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1852,2.1264,3.19861,2.17118,0.62244,0.15625,0.10042,0.04853,1.86509,4.23925,1.90093,0.000297589,0.000297589,0.000297589
2,116.843,1.82468,2.03023,1.88593,0.33767,0.20266,0.19074,0.10192,1.70728,1.90907,1.8845,0.000541131,0.000541131,0.000541131
3,174.142,1.72567,1.75681,1.89321,0.39214,0.24853,0.23978,0.12838,1.67978,1.72153,1.87644,0.000724679,0.000724679,0.000724679
4,229.512,1.67234,1.63834,1.89176,0.53225,0.28932,0.2578,0.14051,1.64243,1.66794,1.85199,0.000639027,0.000639027,0.000639027
5,282.424,1.65551,1.55087,1.86845,0.56508,0.30939,0.2851,0.15565,1.60172,1.55437,1.83517,0.000549036,0.000549036,0.000549036
6,336.076,1.61109,1.49502,1.84908,0.56413,0.29944,0.29379,0.16182,1.59354,1.57999,1.85001,0.000459045,0.000459045,0.000459045
7,390.158,1.60023,1.4585,1.84803,0.44438,0.31791,0.3126,0.17491,1.57023,1.46923,1.82979,0.000369054,0.000369054,0.000369054
8,444.322,1.57373,1.41993,1.83718,0.48223,0.31952,0.30809,0.17257,1.59371,1.48152,1.84675,0.000279063,0.000279063,0.000279063
9,500.345,1.55986,1.38617,1.82194,0.42365,0.33264,0.31904,0.18103,1.57872,1.45398,1.82989,0.000189072,0.000189072,0.000189072
10,558.43,1.5475,1.37153,1.81505,0.47677,0.29242,0.32306,0.18286,1.5707,1.43036,1.82478,9.9081e-05,9.9081e-05,9.9081e-05
