epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,422.781,0.54841,0.89045,1,0.25818,0.000543319,0.000543319,0.000543319
2,829.942,0.30396,0.90169,1,0.22454,0.00102645,0.00102645,0.00102645
3,1207.51,0.26813,0.85955,1,0.30713,0.00143624,0.00143624,0.00143624
4,1589.7,0.24134,0.87079,1,0.29511,0.00133693,0.00133693,0.00133693
5,1961.51,0.26659,0.87921,1,0.3218,0.00122691,0.00122691,0.00122691
6,2351.67,0.2528,0.91573,1,0.20234,0.00111689,0.00111689,0.00111689
7,2750.38,0.22577,0.92135,1,0.22833,0.00100687,0.00100687,0.00100687
8,3155.26,0.18511,0.9073,1,0.20054,0.000896846,0.000896846,0.000896846
9,3333.15,0.15072,0.91854,1,0.22169,0.000786824,0.000786824,0.000786824
10,3512.97,0.11833,0.93539,1,0.18529,0.000676802,0.000676802,0.000676802
11,3695.31,0.1089,0.92697,1,0.16649,0.00056678,0.00056678,0.00056678
12,3880.6,0.09128,0.93258,1,0.18244,0.000456758,0.000456758,0.000456758
13,4063.4,0.08477,0.93258,1,0.16359,0.000346736,0.000346736,0.000346736
14,4244.47,0.07574,0.92978,1,0.16765,0.000236714,0.000236714,0.000236714
15,4514.48,0.0738,0.94101,1,0.15622,0.000126692,0.000126692,0.000126692
